Time [s],Outdoor Dry-Bulb Temperature [°C],Global Horizontal Irradiance [W/m²],Occupancy Signal [-],Zone 1 Air Temperature [°C],Zone 2 Air Temperature [°C],Zone 3 Air Temperature [°C],Zone 4 Air Temperature [°C],Zone 5 Air Temperature [°C],VAV Box 1 Supply Air Temperature [°C],VAV Box 2 Supply Air Temperature [°C],VAV Box 3 Supply Air Temperature [°C],VAV Box 4 Supply Air Temperature [°C],VAV Box 5 Supply Air Temperature [°C],VAV Box 1 Supply Air Flow [m³/s],VAV Box 2 Supply Air Flow [m³/s],VAV Box 3 Supply Air Flow [m³/s],VAV Box 4 Supply Air Flow [m³/s],VAV Box 5 Supply Air Flow [m³/s],Zone 1 Cooling Setpoint [°C],Zone 2 Cooling Setpoint [°C],Zone 3 Cooling Setpoint [°C],Zone 4 Cooling Setpoint [°C],Zone 5 Cooling Setpoint [°C],AHU Supply Fan Power [W],AHU Cooling Coil Cooling Power [W],AHU Supply Fan Air Flow [m³/s],AHU Supply Fan Pressure Rise [Pa],AHU Supply Air Temperature [°C],AHU Return Air Temperature [°C],VAV Box 1 Reheat Coil Power [W],VAV Box 2 Reheat Coil Power [W],VAV Box 3 Reheat Coil Power [W],VAV Box 4 Reheat Coil Power [W],VAV Box 5 Reheat Coil Power [W],AHU Outdoor Air Flow [m³/s]
0.0,25.6,0.0,0.0,24.75,24.7,24.55,25.0,24.01,11.91,11.91,11.91,11.91,11.91,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,-0.0,11.9,23.21,0.0,0.0,0.0,0.0,0.0,0.0
60.0,25.6,0.0,0.0,24.75,24.69,24.55,25.0,24.0,11.91,11.91,11.91,11.91,11.91,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,-0.0,11.9,23.21,0.0,0.0,0.0,0.0,0.0,0.0
120.0,25.6,0.0,0.0,24.75,24.69,24.55,24.99,24.0,11.91,11.91,11.91,11.91,11.91,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,-0.0,11.9,23.21,0.0,0.0,0.0,0.0,0.0,0.0
180.0,25.6,0.0,0.0,24.75,24.69,24.55,24.99,24.0,11.91,11.91,11.91,11.91,11.91,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,-0.0,11.9,23.21,0.0,0.0,0.0,0.0,0.0,0.0
240.0,25.6,0.0,0.0,24.75,24.69,24.55,24.99,24.0,11.91,11.91,11.91,11.91,11.91,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,-0.0,11.9,23.21,0.0,0.0,0.0,0.0,0.0,0.0
300.0,25.6,0.0,0.0,24.74,24.69,24.55,24.99,24.0,11.91,11.91,11.91,11.91,11.91,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,-0.0,11.9,23.21,0.0,0.0,0.0,0.0,0.0,0.0
360.0,25.6,0.0,0.0,24.74,24.69,24.54,24.99,24.0,11.91,11.91,11.91,11.91,11.91,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,-0.0,11.9,23.21,0.0,0.0,0.0,0.0,0.0,0.0
420.0,25.6,0.0,0.0,24.74,24.69,24.54,24.99,24.0,11.91,11.91,11.91,11.91,11.91,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,-0.0,11.9,23.21,0.0,0.0,0.0,0.0,0.0,0.0
480.0,25.6,0.0,0.0,24.74,24.69,24.54,24.99,24.0,11.91,11.91,11.91,11.91,11.91,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,-0.0,11.9,23.21,0.0,0.0,0.0,0.0,0.0,0.0
540.0,25.6,0.0,0.0,24.74,24.69,24.54,24.99,24.0,11.91,11.91,11.91,11.91,11.91,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,-0.0,11.9,23.21,0.0,0.0,0.0,0.0,0.0,0.0
